id,repayment_id,alloc_principal_not_due,alloc_principal_arrears,alloc_interest_accrued,alloc_interest_arrears,alloc_default_interest,alloc_penalty_interest,alloc_fees_charges,alloc_principal_total,alloc_interest_total,alloc_fees_total,created_at,event_type,source_repayment_id,unallocated,alloc_total,loan_id,repayment_amount,value_date
24,24,0,1946.74,0,2977.76,0,0,0,1946.74,2977.76,0,2026-04-10T17:48:08.182946+02:00,new_allocation,,0,4924.5,2062,4924.5,2024-04-01
25,25,0,3771.95,0,514.33,0,0,0,3771.95,514.33,0,2026-04-10T17:48:09.581835+02:00,new_allocation,,0,4286.28,1823,4286.28,2024-04-01
26,26,0,660.6,0,2685.61,0,0,0,660.6,2685.61,0,2026-04-10T17:48:11.338329+02:00,new_allocation,,0,3346.21,2165,3346.21,2024-04-01
27,27,0,2752.36,0,348.73,0,0,0,2752.36,348.73,0,2026-04-10T17:48:13.096864+02:00,new_allocation,,0,3101.09,1950,3101.09,2024-04-01
28,28,0,1003.08,0,2043.4,0,0,0,1003.08,2043.4,0,2026-04-10T17:48:14.500190+02:00,new_allocation,,0,3046.48,1944,3046.48,2024-04-01
29,29,0,925.94,0,1921.63,0,0,0,925.94,1921.63,0,2026-04-10T17:48:16.189938+02:00,new_allocation,,0,2847.57,1973,2847.57,2024-04-01
30,30,0,1616.4,0,1025.5,0,0,0,1616.4,1025.5,0,2026-04-10T17:48:17.763537+02:00,new_allocation,,0,2641.9,2213,2641.9,2024-04-01
31,31,0,779.28,0,1734.9,0,0,0,779.28,1734.9,0,2026-04-10T17:48:18.954152+02:00,new_allocation,,0,2514.18,2187,2514.18,2024-04-01
32,32,0,1164.32,0,1252.68,0,0,0,1164.32,1252.68,0,2026-04-10T17:48:20.737486+02:00,new_allocation,,0,2417,2253,2417,2024-04-01
33,33,0,1400.26,0,839.07,0,0,0,1400.26,839.07,0,2026-04-10T17:48:22.158698+02:00,new_allocation,,0,2239.33,1805,2239.33,2024-04-01
34,34,0,598.89,0,1293.58,0,0,0,598.89,1293.58,0,2026-04-10T17:48:23.770435+02:00,new_allocation,,0,1892.47,1994,1892.47,2024-04-01
35,35,0,1291.06,0,597.3,0,0,0,1291.06,597.3,0,2026-04-10T17:48:25.365976+02:00,new_allocation,,0,1888.36,2142,1888.36,2024-04-01
36,36,0,1549.06,0,282.8,0,0,0,1549.06,282.8,0,2026-04-10T17:48:26.828257+02:00,new_allocation,,0,1831.86,1951,1831.86,2024-04-01
